group,names,scores,logfoldchanges,pvals,pvals_adj
0,LTB,23.573498,,7.209353065304539e-123,1.4418706130609077e-119
0,IL32,21.352404,,3.70392194120529e-101,3.7039219412052896e-98
0,LDHB,21.227337,,5.340330838134115e-100,3.5602205587560765e-97
0,CD3D,19.496592,,1.1734502780007613e-84,5.867251390003806e-82
0,IL7R,18.717289,,3.5791382269216903e-78,1.1930460756405633e-75
0,CD3E,16.222155,,3.5164433426753268e-59,5.860738904458878e-57
0,RPS29,14.906953,,2.970008451091454e-50,3.712510563864317e-48
0,RPLP0,14.804906,,1.3617758523151601e-49,1.513084280350178e-47
0,RPSA,14.797664,,1.516588281049755e-49,1.596408716894479e-47
0,RPS27A,14.775824,,2.0977746803928824e-49,2.0977746803928824e-47
0,CD2,13.8078,,2.2870910640532893e-43,2.0791736945938994e-41
0,JUNB,13.577814,,5.422060429018849e-42,4.714835155668564e-40
0,HINT1,12.668272,,8.864594591753904e-37,6.781453466281534e-35
0,TMEM66,12.655196,,1.047136891067105e-36,7.479549221907892e-35
0,NOSIP,12.445584,,1.477979676635259e-35,1.0192963287139716e-33
0,RPL9,12.43205,,1.750873088610199e-35,1.1672487257401329e-33
0,RPL36A,12.380551,,3.3304526811461794e-35,2.1486791491265673e-33
0,AQP3,12.347158,,5.046227620985862e-35,3.1538922631161636e-33
0,NPM1,12.0691805,,1.5365627295668655e-33,9.312501391314335e-32
0,JUN,12.065301,,1.6107192036916414e-33,9.474818845244949e-32
0,AES,11.9316435,,8.095956442699842e-33,4.626260824399909e-31
0,FXYD5,11.727377,,9.227412785349986e-32,5.126340436305548e-30
0,RPS21,11.696886,,1.3221630391710538e-31,7.146827238762453e-30
0,MYL12A,11.563544,,6.305155415317463e-31,3.318502850167086e-29
0,GIMAP7,11.477361,,1.7143451596800267e-30,8.362659315512325e-29
0,VIM,11.129062,,9.0583884566053e-29,4.117449298456955e-27
0,RPS3A,11.098111,,1.2812248486425674e-28,5.694332660633633e-27
0,LCK,11.02963,,2.749940756086778e-28,1.1458086483694909e-26
0,GSTK1,10.740732,,6.55229522621642e-27,2.569527539692714e-25
0,RPS26,10.54707,,5.240609071160305e-26,1.977588328739738e-24
0,EVL,10.535,,5.958332892952078e-26,2.2067899603526215e-24
0,ZFP36L2,10.511723,,7.62872540983617e-26,2.7740819672131525e-24
0,ANXA1,10.446173,,1.525587940584717e-25,5.352940142402515e-24
0,RPSAP58,9.99212,,1.6501494555415895e-23,5.500498185138632e-22
0,HSPA8,9.957951,,2.3281214304344858e-23,7.633185017817986e-22
0,CALM1,9.354721,,8.38202357465098e-21,2.4295720506234724e-19
0,RPL22,9.334318,,1.0164361648807545e-20,2.86320046445283e-19
0,HLA-A,9.32653,,1.0939370499656943e-20,2.99708780812519e-19
0,RPL38,9.017716,,1.9205022913555058e-19,4.988317639884431e-18
0,CD52,8.850205,,8.735810858217303e-19,2.2399515021070008e-17
0,RGCC,8.846786,,9.007591490650424e-19,2.2804029090254238e-17
0,CD3G,8.822503,,1.1192942861075902e-18,2.729986063677049e-17
0,FOS,8.815232,,1.194372859708789e-18,2.878006890864552e-17
0,RPL7,8.756637,,2.011632804487002e-18,4.7896019154452426e-17
0,GIMAP5,8.634243,,5.911704547322671e-18,1.390989305252393e-16
0,SOD1,8.258443,,1.4758508680451742e-16,3.2436282814179654e-15
0,CD69,8.167258,,3.154758319518463e-16,6.784426493588092e-15
0,MAL,8.159615,,3.3609539610070686e-16,7.150965874483124e-15
0,GLTSCR2,7.914311,,2.486258196970257e-15,5.126305560763416e-14
0,IFITM1,7.6780887,,1.6147957095939756e-14,3.197615266522724e-13
0,DDX5,7.5417295,,4.637797727691566e-14,9.093721034689346e-13
0,EEF1B2,7.496065,,6.57620026989402e-14,1.2646538980565423e-12
0,RPL34,7.4188476,,1.1814369340337992e-13,2.22912629062981e-12
0,CRIP1,7.3100476,,2.6704806932037996e-13,4.945334617044073e-12
0,TNFRSF4,7.250331,,4.1575465978589054e-13,7.491074951097127e-12
0,ITM2B,7.1311564,,9.952912505772188e-13,1.7309413053516847e-11
0,TOMM7,7.124834,,1.0420606821258024e-12,1.7966563484927626e-11
0,IL2RG,7.1106668,,1.1548382086293658e-12,1.9740824079134458e-11
0,RARRES3,7.072331,,1.523527631793094e-12,2.5822502233781256e-11
0,RPL36AL,6.756477,,1.4138767449946556e-11,2.2442488015788186e-10
0,TRAF3IP3,6.7090025,,1.959595003508571e-11,3.061867192982142e-10
0,ALOX5AP,6.5354567,,6.341580512465138e-11,9.68180230910708e-10
0,TSC22D3,6.307683,,2.8324361017146534e-10,4.104979857557468e-09
0,EIF4A2,6.221154,,4.935104108340672e-10,7.000147671405209e-09
0,GIMAP4,5.990938,,2.086340226286946e-09,2.8193786841715488e-08
0,KLF6,5.953838,,2.6192610227079283e-09,3.5157866076616486e-08
0,HMGN1,5.940906,,2.834509375934901e-09,3.779345834579868e-08
0,RPS4Y1,5.80265,,6.527498107250957e-09,8.588813299014418e-08
0,PTPRCAP,5.7450023,,9.19196397309942e-09,1.1709508245986522e-07
0,GPR183,5.6877284,,1.287401948018917e-08,1.61937351952065e-07
0,SNRPD2,5.6605716,,1.5086956727232115e-08,1.8741561151841136e-07
0,BTG1,5.6080685,,2.0459737528267514e-08,2.525893522008335e-07
0,COX7C,5.6022058,,2.1164108876667263e-08,2.596823175051198e-07
0,CD7,5.5604215,,2.691239882764252e-08,3.262108948805154e-07
0,CXCR4,5.5251603,,3.291845359669924e-08,3.9660787465902696e-07
0,CRIP2,5.4600987,,4.75869761108794e-08,5.665116203676119e-07
0,MYL12B,5.395324,,6.83998517930583e-08,7.95347113872771e-07
0,SOCS3,5.3543158,,8.58806674744261e-08,9.814933425648698e-07
0,OST4,5.219422,,1.7948228703164205e-07,2.0053886819177884e-06
0,ISG20,4.9754405,,6.509939112997255e-07,6.962501725130754e-06
0,UBC,4.922851,,8.529240979476983e-07,8.929109144558217e-06
0,COMMD6,4.922707,,8.535508075989166e-07,8.929109144558217e-06
0,SLC2A3,4.8985105,,9.656598266996955e-07,1.0006837582380264e-05
0,NGFRAP1,4.6700473,,3.011307434721176e-06,3.057164908346372e-05
0,EEF2,4.4610677,,8.155225772155229e-06,7.917694924422553e-05
0,BIRC3,4.4258933,,9.604406002382108e-06,9.235005771521258e-05
0,NBEAL1,4.393506,,1.1153712491189293e-05,0.0001057223932814151
0,MALAT1,4.389454,,1.1363562176147332e-05,0.0001072034167561069
0,APRT,4.2967753,,1.7330054799144093e-05,0.0001604634703624453
0,SRSF7,4.268383,,1.9689519775065756e-05,0.00018147022834161987
0,IER2,4.0298615,,5.5809731523036956e-05,0.0004917156962382111
0,S100A10,4.0046587,,6.210709044300776e-05,0.0005424200038690633
0,PPDPF,3.9383326,,8.204984240554845e-05,0.0007012807043209269
0,CD247,3.8450506,,0.00012052759917122928,0.0010085991562445965
0,C6orf48,3.7622578,,0.00016838637631081326,0.001385896101323566
0,CNBP,3.652739,,0.00025945782369638664,0.002118023050582748
0,NAP1L1,3.6096041,,0.00030666470609626707,0.0024733764531542014
0,RNASET2,3.6095753,,0.000306698680191121,0.0024733764531542014
0,GPSM3,3.5803206,,0.0003431729452831233,0.0027564091990612315
0,PASK,3.5748317,,0.0003504532649211147,0.0028036261193689176
0,SRSF5,3.48655,,0.0004892938123598785,0.0038375985283127727
0,NDUFA4,3.4830153,,0.0004957999561878775,0.003873437157717793
0,CD99,3.4266324,,0.0006111158953298469,0.004700891502537284
0,PABPC1,3.3937566,,0.0006894093168520646,0.005262666540855455
0,UBE2D3,3.3868308,,0.0007070495812599313,0.005376802899315067
0,HLA-E,3.372347,,0.0007453043548906814,0.005646245112808193
0,ACTG1,3.3615131,,0.0007751667023066375,0.005850314734389717
0,SSR2,3.358697,,0.0007831092181996344,0.005888039234583717
0,DUSP2,3.3172574,,0.0009090583654032939,0.006809425958077107
0,RAC2,3.2853012,,0.0010187338717702883,0.007574229529890619
0,HSP90AA1,3.2321656,,0.001228558420230804,0.009100432742450398
0,HNRNPDL,3.2288895,,0.0012427189789749541,0.009171357778412945
0,MYC,3.2095203,,0.0013295659966579745,0.009704861289474266
0,TXNIP,3.1312108,,0.0017408721047096072,0.012660888034251687
0,RGS10,2.9140987,,0.0035671700327611815,0.025209682210326375
