group,names,scores,logfoldchanges,pvals,pvals_adj
0,LTB,23.573498,,7.209353065304539e-123,1.4418706130609077e-119
0,IL32,21.352404,,3.70392194120529e-101,3.7039219412052896e-98
0,LDHB,21.227337,,5.340330838134115e-100,3.5602205587560765e-97
0,CD3D,19.496592,,1.1734502780007613e-84,5.867251390003806e-82
0,IL7R,18.717289,,3.5791382269216903e-78,1.1930460756405633e-75
0,CD3E,16.222155,,3.5164433426753268e-59,5.860738904458878e-57
0,RPS29,14.906953,,2.970008451091454e-50,3.712510563864317e-48
0,RPLP0,14.804906,,1.3617758523151601e-49,1.513084280350178e-47
0,RPSA,14.797664,,1.516588281049755e-49,1.596408716894479e-47
0,RPS27A,14.775824,,2.0977746803928824e-49,2.0977746803928824e-47
0,CD2,13.8078,,2.2870910640532893e-43,2.0791736945938994e-41
0,JUNB,13.577814,,5.422060429018849e-42,4.714835155668564e-40
0,HINT1,12.668272,,8.864594591753904e-37,6.781453466281534e-35
0,TMEM66,12.655196,,1.047136891067105e-36,7.479549221907892e-35
0,NOSIP,12.445584,,1.477979676635259e-35,1.0192963287139716e-33
1,MALAT1,20.749193,,1.2466686489491927e-95,1.2466686489491928e-92
1,RPL9,19.719234,,1.4744183800597664e-86,7.372091900298832e-84
1,RPS3A,18.444061,,5.820104998186666e-76,1.6628871423390473e-73
1,LDHB,17.083948,,1.954347019725816e-65,3.553358217683302e-63
1,RPS27A,16.828587,,1.5065404762859926e-63,2.317754578901527e-61
1,RPS29,15.739294,,8.134663327187091e-56,7.395148479260992e-54
1,CCR7,15.389648,,1.9207368863346463e-53,1.6006140719455385e-51
1,BTG1,13.870603,,9.547110376020629e-44,5.966943985012893e-42
1,CD3D,13.675633,,1.4196560866156904e-42,8.350918156562884e-41
1,RPSA,13.485305,,1.908753039096535e-41,1.0317583995116406e-39
1,NPM1,13.094438,,3.542874302664255e-39,1.8168586167508999e-37
1,TMEM66,11.876167,,1.5742067305183423e-32,6.844377089210184e-31
1,EEF1B2,11.833954,,2.605714130890421e-32,1.1088145237831579e-30
1,RPL7,11.683247,,1.5525052188975268e-31,6.468771745406361e-30
1,CD3E,11.664428,,1.9370042067674379e-31,7.90613961945893e-30
2,LYZ,33.866764,,2.056399073415041e-251,4.112798146830082e-248
2,S100A9,33.76679,,6.062416231796117e-250,6.062416231796117e-247
2,S100A8,33.2433,,2.5510974192318945e-242,1.700731612821263e-239
2,TYROBP,31.930235,,1.0163640453900732e-223,5.081820226950366e-221
2,FTL,31.32296,,2.272115602722491e-215,9.088462410889964e-213
2,FCN1,31.028177,,2.2475562509960555e-211,7.491854169986851e-209
2,CST3,30.957575,,2.00910376701535e-210,5.740296477186715e-208
2,S100A6,30.429531,,2.2351693683867545e-203,5.587923420966886e-201
2,LGALS2,30.419708,,3.014688454209943e-203,6.699307676022095e-201
2,FTH1,30.257921,,4.104415934179675e-201,7.462574425781227e-199
2,LGALS1,29.880838,,3.4913156848207723e-196,5.818859474701287e-194
2,GSTP1,28.592136,,8.415384974997963e-180,1.2946746115381483e-177
2,GPX1,28.514845,,7.668273004954849e-179,1.095467572136407e-176
2,S100A4,28.313444,,2.3609231235137916e-176,3.147897498018389e-174
2,AIF1,28.134111,,3.749607825124575e-174,4.687009781405719e-172
3,CD74,29.320253,,5.7244170182601746e-189,1.1448834036520349e-185
3,CD79A,27.987867,,2.282917630906345e-172,2.282917630906345e-169
3,HLA-DRA,27.91631,,1.6915272328678436e-171,1.1276848219118957e-168
3,CD79B,26.583923,,1.0415536782360426e-155,5.207768391180212e-153
3,HLA-DPB1,26.14589,,1.0975381411510281e-150,4.390152564604113e-148
3,HLA-DQA1,25.351057,,8.74861268650277e-142,2.9162042288342565e-139
3,MS4A1,25.226593,,2.0465962409120115e-140,5.847417831177175e-138
3,HLA-DRB1,24.499529,,1.4943268340908573e-132,3.735817085227143e-130
3,HLA-DQB1,24.304132,,1.772747036446678e-130,3.939437858770396e-128
3,CD37,24.248981,,6.777710140775524e-130,1.355542028155105e-127
3,HLA-DPA1,24.162964,,5.4560733790176737e-129,9.92013341639577e-127
3,HLA-DRB5,20.107677,,6.321567627096094e-90,9.725488657070915e-88
3,TCL1A,18.478094,,3.09940820244433e-76,4.132544269925774e-74
3,HLA-DMA,16.891996,,5.152899588309293e-64,5.725443987010326e-62
3,LINC00926,16.642038,,3.456456182353186e-62,3.456456182353186e-60
4,CCL5,26.125565,,1.8683181067396064e-150,3.736636213479213e-147
4,NKG7,23.56482,,8.848763464968954e-123,8.848763464968953e-120
4,CST7,19.425585,,4.690156329209993e-84,3.1267708861399953e-81
4,GZMA,19.260618,,1.1499927796080553e-82,5.749963898040276e-80
4,CTSW,18.956585,,3.896379634966623e-80,1.5585518539866493e-77
4,IL32,18.887564,,1.4435507668038425e-79,4.8118358893461415e-77
4,HLA-A,15.998857,,1.3014382400088638e-57,3.718394971453897e-55
4,CD3D,15.382941,,2.130463805202687e-53,5.3261595130067175e-51
4,GZMK,15.245203,,1.77181580144994e-52,3.937368447666534e-50
4,PTPRCAP,14.113945,,3.116431824911445e-45,6.2328636498228894e-43
4,GZMM,14.007797,,1.3966958654140095e-44,2.539447028025472e-42
4,CD8A,13.772065,,3.753283865776671e-43,6.255473109627784e-41
4,LYAR,13.685031,,1.2475430939362548e-42,1.9192970675942384e-40
4,HCST,12.889852,,5.134280924958286e-38,7.334687035654694e-36
4,MALAT1,12.147574,,5.909256851198831e-34,7.879009134931776e-32
5,LST1,20.90581,,4.740925170602849e-97,9.481850341205697e-94
5,FCER1G,20.232132,,5.104766617749424e-91,5.104766617749424e-88
5,AIF1,20.152046,,2.5821639493770678e-90,1.7214426329180452e-87
5,COTL1,20.054136,,1.8574288857412385e-89,9.287144428706192e-87
5,FCGR3A,19.63139,,8.340287252233671e-86,3.3361149008934684e-83
5,IFITM2,19.53159,,5.91694981550124e-85,1.9723166051670797e-82
5,FTH1,19.344553,,2.2656114099173307e-83,6.473175456906659e-81
5,IFITM3,19.17621,,5.849165163415383e-82,1.4622912908538458e-79
5,SAT1,18.664032,,9.712023345648042e-78,2.1582274101440094e-75
5,PSAP,18.243736,,2.320411584796797e-74,4.4580757671948166e-72
5,FTL,18.240723,,2.451941671957149e-74,4.4580757671948166e-72
5,SERPINA1,18.12754,,1.9320792613321633e-73,3.220132102220272e-71
5,CTSS,18.010273,,1.6182818997106465e-72,2.4896644610933024e-70
5,S100A11,17.82007,,4.937441527577766e-71,7.053487896539667e-69
5,OAZ1,17.751936,,1.6651217985231258e-70,2.2201623980308344e-68
6,NKG7,20.033619,,2.8051088142373155e-89,5.610217628474631e-86
6,GNLY,19.857986,,9.400280665478332e-88,9.400280665478332e-85
6,GZMB,19.404531,,7.065941010672786e-84,4.710627340448524e-81
6,CTSW,18.999426,,1.7241983614007603e-80,8.620991807003801e-78
6,PRF1,18.896158,,1.226676945007539e-79,4.9067077800301564e-77
6,CST7,17.899277,,1.1946392723070238e-71,3.821919277783033e-69
6,GZMA,17.892977,,1.3376717472240615e-71,3.821919277783033e-69
6,FGFBP2,17.098164,,1.531528538982776e-65,3.8288213474569396e-63
6,CD247,15.876709,,9.187379772613027e-57,2.0416399494695616e-54
6,HLA-A,15.431006,,1.012780464143039e-53,2.025560928286078e-51
6,FCGR3A,14.530557,,7.758766692442365e-48,1.410684853171339e-45
6,SPON2,14.508912,,1.0639476290876862e-47,1.773246048479477e-45
6,CD7,14.4744,,1.7585510591625112e-47,2.705463167942325e-45
6,PLAC8,14.032089,,9.918628041558717e-45,1.4169468630798167e-42
6,GZMM,13.733913,,6.360341129710889e-43,8.48045483961452e-41
7,HLA-DPB1,9.203022,,3.4802047731807196e-20,6.96040954636144e-17
7,HLA-DPA1,9.071332,,1.1757106527730093e-19,1.1757106527730091e-16
7,HLA-DQA1,8.886142,,6.326754592321727e-19,4.217836394881151e-16
7,HLA-DRA,8.840187,,9.555821123486854e-19,4.777910561743427e-16
7,HLA-DRB1,8.765082,,1.8663978921929673e-18,7.465591568771869e-16
7,CST3,8.694322,,3.489076330792417e-18,1.1630254435974723e-15
7,FCER1A,8.4743805,,2.3633438561332844e-17,6.712048336617313e-15
7,CD74,8.459519,,2.6848193346469254e-17,6.712048336617313e-15
7,HLA-DRB5,8.184936,,2.7245001108497505e-16,6.054444690777224e-14
